reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
48,50,91,0,58,58,52,212.40182200004347,213.40119170001708,213.40119170001708,213.40119170001708,t,0.8529910000506788,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
50,52,11,0,59,59,54,214.28376060002483,215.28443920006976,215.28443920006976,215.28443920006976,t,1.4174440999049693,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
5,7,45,0,60,60,11,216.7321061999537,217.71884119999595,217.71884119999595,217.7348343001213,t,11.294103000080213,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
31,33,42,0,61,61,35,229.03471920010634,230.03536950005218,230.03536950005218,230.03536950005218,t,1.1370453999843448,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
22,24,88,0,62,62,26,231.20187569991685,232.20108020002954,232.20108020002954,232.20108020002954,t,1.4510474000126123,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
101,101,51,0,63,63,98,233.6987230000086,234.68461970007047,234.68461970007047,234.70200800010934,t,2.1974612998310477,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
75,88,85,0,64,64,79,236.90182669996284,237.90149680012837,237.90149680012837,237.90149680012837,t,2.748777800006792,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
16,18,40,0,65,65,20,240.66836840007454,241.667828500038,241.667828500038,241.667828500038,t,1.8709440000820905,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
23,25,96,0,66,66,27,243.5685127999168,244.5679128000047,244.5679128000047,244.5679128000047,t,1.0957492000889033,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
47,49,84,0,67,67,51,245.69873810000718,246.68460240005516,246.68460240005516,246.70191770000383,t,1.2545076999813318,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
100,103,54,0,68,68,99,247.968066399917,248.96806999994442,248.96806999994442,248.96806999994442,t,1.8321421998552978,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
1,5,9,0,69,69,7,250.83201529993676,251.81786870001815,251.81786870001815,251.8347021001391,l,2.3601579000242054,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
27,29,18,0,70,70,31,254.2152567000594,255.20229310006835,255.20229310006835,255.2188508999534,l,2.4535870999097824,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
63,67,25,0,71,71,67,257.69857860007323,258.68543420010246,258.68543420010246,258.7040577000007,t,2.236069899983704,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
29,31,30,0,72,72,33,260.96527700009756,261.9511806999799,261.9511806999799,261.96910690004006,t,1.9095376001205295,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
35,37,66,0,73,73,39,263.8987181999255,264.88446870003827,264.88446870003827,264.90140730002895,t,1.2203273999039084,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
14,17,32,0,74,74,19,266.1486814999953,267.13414789992385,267.13414789992385,267.1508567999117,t,1.953234100015834,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
25,27,6,0,75,75,29,269.1318213001359,270.11819870001636,270.11819870001636,270.1360810000915,l,1.067023100098595,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
53,57,44,0,76,76,57,271.21648710011505,272.2011971999891,272.2011971999891,272.2178430999629,t,1.0320987000595778,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
40,55,62,0,77,77,3,273.2654753001407,274.25101700006053,274.25101700006053,274.26801350014284,t,1.1851216999348253,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
58,62,99,0,78,78,62,275.48254130012356,276.46780660003424,276.46780660003424,276.48534899996594,t,2.9707170000765473,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
91,95,42,0,79,79,95,279.4820256999228,280.46796069992706,280.46796069992706,280.48465300002135,t,1.2745756001677364,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
49,60,89,0,80,80,4,281.7817174999509,282.7679687999189,282.7679687999189,282.784834299935,t,2.143821300007403,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
38,40,21,0,81,81,42,284.9488226000685,285.93459830014035,285.93459830014035,285.95141159999184,t,2.3616446000523865,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
9,13,81,0,82,82,15,288.33181899995543,289.31536710006185,289.31536710006185,289.33497440000065,t,3.1207053000107408,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
2,6,18,0,83,83,8,292.48174050007947,293.46817989996634,293.46817989996634,293.48457080009393,l,1.379933400079608,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
79,96,6,0,84,84,83,294.8822069999296,295.8677737999242,295.8677737999242,295.8846263999585,t,0.7652596000116318,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
28,30,24,0,85,85,32,296.665201399941,297.6514912999701,297.6514912999701,297.6681316001341,t,2.4432894000783563,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
76,90,90,0,86,86,80,300.13190419995226,301.11793850013055,301.11793850013055,301.134460600093,t,0.9247649000026286,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
62,66,20,0,87,87,66,302.08204380003735,303.06842830008827,303.06842830008827,303.08504729997367,l,1.2125218999572098,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
90,93,39,0,88,88,94,304.3149173001293,305.30107449996285,305.30107449996285,305.31822569994256,t,1.8466874998994172,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
39,41,28,0,89,89,43,307.1820684999693,308.16785369999707,308.16785369999707,308.18464330001734,t,1.5106963999569416,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
19,21,64,0,90,90,23,309.7151562999934,310.7011166000739,310.7011166000739,310.71759749995545,t,1.1353978000115603,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
60,64,10,0,91,91,64,311.88188449991867,312.8679365001153,312.8679365001153,312.88459530007094,t,1.1571210001129657,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
36,38,7,0,92,92,40,314.065205699997,315.05104840011336,315.05104840011336,315.0679460000247,l,1.6800574001390487,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
80,98,9,0,93,93,84,316.76545669999905,317.7513757001143,317.7513757001143,317.7677694000304,l,1.208276899997145,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
20,22,72,0,94,94,24,318.9983983999118,319.9846203001216,319.9846203001216,320.00093029998243,t,1.3927005999721587,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
8,12,72,0,95,95,14,321.4151840999257,322.40110610006377,322.40110610006377,322.41786210006103,t,1.7201549999881536,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
42,44,49,0,96,96,46,324.16564420005307,325.1511361000594,325.1511361000594,325.1678206999786,t,1.1962526999413967,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
43,45,56,0,97,97,47,326.3818208000157,327.36793639999814,327.36793639999814,327.3845752000343,t,0.9470770000480115,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
15,35,13,0,98,98,1,328.34867500001565,329.3344732001424,329.3344732001424,329.3512120000087,l,1.6036733000073582,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
69,76,55,0,99,99,73,330.9817671000492,331.96802829997614,331.96802829997614,331.9845559000969,t,1.3431489998474717,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
